chain,draw,Ks,N0,P0,Qn,mu_max,sigma
0,91,0.08096648514662769,318.4756304610437,8090.9572549632185,3.357589876081338e-10,0.7099213593820635,0.18967077998741258
0,92,0.10017385478079575,328.24182384197957,8406.242374994627,3.769328115729699e-10,0.6900107044774962,0.13907119953305988
0,93,0.06041313903881959,319.5790733710826,9008.00686151755,3.880086908918529e-10,0.6855599009492371,0.11870822820035978
0,94,0.11193030271852691,321.3618587500458,9109.32367439534,3.729547133447164e-10,0.6780736703442933,0.13102889804140705
0,95,0.07324732061371692,364.807757835362,8979.253419745608,3.778123089169408e-10,0.6657028191732105,0.11743205378648552
0,96,0.08450451064016169,427.9071165555414,8620.977031886896,4.4845023838384834e-10,0.671521430742677,0.19669240171598504
0,97,0.09657319063052239,597.1989431589939,9492.764100831075,5.489233986800745e-10,0.6592183898755057,0.20623113253158873
0,98,0.09104835360533936,494.17956470568555,9200.804431916578,5.327848017050221e-10,0.6753500476150917,0.18659955841970974
0,99,0.10364198391787266,431.714276886687,9234.123802512795,5.883711693033528e-10,0.6620994696220649,0.1288970599562279
0,100,0.054331356391946355,444.94567753694616,8973.941695415258,5.417335183058216e-10,0.6820200411510056,0.13017895942249155
0,101,0.07620112918900677,470.97160520894295,8771.329073677358,5.158184941247072e-10,0.7025312845383282,0.1346914326823458
0,102,0.10309643428878643,502.37111032845155,8716.185234948924,5.576077056384524e-10,0.699737488367187,0.12837409877101047
0,103,0.09669207517263949,499.4252315620361,9897.132433898965,5.86040355571607e-10,0.6754128857111703,0.12008031742542848
0,104,0.08301703888033812,502.9866573080999,9206.129037146999,5.998302613538836e-10,0.6508925722409412,0.13423354865027104
0,105,0.08679085182144974,496.9815174316006,8658.548326261824,5.64473861659054e-10,0.6858021593103707,0.1541073131937966
0,106,0.09130628884360796,485.6357066965283,8890.22452021537,5.691770445709055e-10,0.7002020377845005,0.16117839291853348
0,107,0.0895945252729652,538.0705014086151,9375.343541225222,6.230306703420115e-10,0.6920314456038198,0.15466143593530654
0,108,0.11882663823516797,527.7188370569573,9207.198230649818,6.380261740087643e-10,0.6326180541124208,0.19220229357014015
0,109,0.08262290786543373,529.5232703271378,8027.692550076812,5.890084074586762e-10,0.7116498672545912,0.10867471682555091
0,110,0.06729506437886854,526.0637309501637,8770.86135802407,6.104356015694466e-10,0.6962789695003455,0.19949249647474343
0,111,0.11642185537551425,526.14727158427,8232.562271719906,5.847205818723127e-10,0.6848727405789674,0.1642959290513488
0,112,0.0848558326806997,615.0411494633714,8611.726083203022,7.021107480033139e-10,0.6877419698610039,0.13403378892711684
0,113,0.10988635274077042,581.0322576090791,8279.422139472128,7.126728056704242e-10,0.6797698457829526,0.1272415930988428
0,114,0.09695554342001322,567.8127359996182,9204.86672294669,7.169203322871455e-10,0.6812086882528284,0.1272415930988428
0,115,0.07735735777483312,572.5346438129014,8553.957080885426,6.549797683773801e-10,0.6967693440420534,0.14787710705549828
0,116,0.055888269700421676,621.4930323191049,9185.11023774764,6.908206781120181e-10,0.6648284223767509,0.11257980680617474
0,117,0.1296608925122768,654.3969393200869,9220.711145439947,7.462486424640222e-10,0.6769193165285411,0.127038968821849
0,118,0.05382062755774828,725.0530859969962,8971.24902834911,8.248589580538121e-10,0.6607497034465605,0.11508682729612194
0,119,0.12382091912470548,764.0667993195211,9143.285169083916,8.534111334082303e-10,0.6564933842289837,0.12879748539883726
0,120,0.06141800474278099,833.7330127570125,8877.161676554333,8.936784185152598e-10,0.6843122669003693,0.14136749520721142
0,121,0.12545304770504004,761.5497379329181,9389.105630032114,9.052735829163229e-10,0.6818915210302738,0.09455450301825645
0,122,0.05170280621333525,779.8945849170734,9221.269013374338,9.367488420794755e-10,0.6697717354837786,0.18917433513396428
0,123,0.05057217898555618,755.035477469807,9342.45225206466,8.79092689270353e-10,0.6477520258543212,0.0959060186294132
0,124,0.05115014938390684,765.2515632890164,8900.325598971564,8.974114298187911e-10,0.6890451809461953,0.0959060186294132
0,125,0.05063430181316831,785.9312789209131,8952.793591610613,9.334881278130734e-10,0.679675590513643,0.11231662567350857
0,126,0.1297192955232572,804.517721444197,9047.719172620446,9.275195880749028e-10,0.6754169334418365,0.11231662567350857
0,127,0.050318793987680244,822.0194089017155,9228.5946896235,9.462906477085997e-10,0.6684062242986748,0.10325467749160597
0,128,0.050004249565703714,858.831244119342,9555.704006978076,9.756488676225392e-10,0.6647344460257745,0.1212411243913306
0,129,0.1262633501851162,914.0842822711254,9513.586693099856,1.058001734269789e-09,0.6555135639885679,0.1112804180406038
0,130,0.1261448702346191,833.0881320700912,9720.101247908111,9.999088990749734e-10,0.6562940871184724,0.13528707411876115
0,131,0.1297440826204254,795.4397552381635,10211.578469001848,9.384450823701795e-10,0.6392183851057882,0.14570535686192534
0,132,0.12964994790522302,766.7692972643044,9619.887870701552,9.157360578510063e-10,0.6452004330078748,0.11748762517432125
0,133,0.12783538419360704,711.1817744468907,10263.787874409303,8.591655983586729e-10,0.6361914236603012,0.12330537749394428
0,134,0.08367440701596486,722.1111071131992,9312.519777807149,8.074823905754443e-10,0.6604328060151897,0.13297316648601076
0,135,0.07319004347394187,730.2171827763635,9873.75003336661,8.302494360211521e-10,0.6709946718625495,0.10944851147317915
0,136,0.05702125788218151,739.4320243087204,9722.326032006604,8.894032783872455e-10,0.638043542109991,0.19141808539474728
0,137,0.12435148648391771,791.4740888252069,9064.72751918482,9.188136799807574e-10,0.6977268641333049,0.09045342074286734
0,138,0.05462014215713969,832.0330955672497,9284.447297266226,9.64595268033474e-10,0.6742793387010249,0.17104866586506443
0,139,0.07829537723917628,836.7065346747785,9823.628293893398,9.783950542817738e-10,0.686390206788689,0.15440014917546147
0,140,0.08678754760707116,853.3516769619863,8289.17191154336,9.425685299250062e-10,0.697927029450001,0.09777055108095008
0,141,0.10567073588547395,843.635070313187,8618.157694941561,9.744421672960396e-10,0.6963665386655067,0.16323523127621115
0,142,0.0632216612876027,913.5630838823774,9107.223137382227,9.988799789702049e-10,0.6808192826416601,0.1074435516675046
0,143,0.11894259354655483,867.7148696201484,8863.944497242112,1.0353443658605799e-09,0.6707129082019616,0.14464136327725235
0,144,0.08718303142636745,864.6012364484139,8343.80171023322,1.0156375256545626e-09,0.687033627820782,0.14122546263303454
0,145,0.09614233552892212,1053.1965895358242,8243.811333972819,1.1411523804227342e-09,0.6826332657178588,0.1383039821915092
0,146,0.11026806792002933,955.9962266238301,8643.390409162397,1.1577001027048534e-09,0.6781096773607866,0.07898008552974102
